"filename", "language", "JSON", "JSON with Comments", "TypeScript", "XML", "TypeScript JSX", "CSS", "Markdown", "HTML", "JavaScript", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\React——Editor\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, -13, 0, 0, -1, -14
"c:\Users\Lenovo\Desktop\React——Editor\package-lock.json", "JSON", -5589, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5590
"c:\Users\Lenovo\Desktop\React——Editor\package.json", "JSON", -55, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -56
"c:\Users\Lenovo\Desktop\React——Editor\public\vite.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Lenovo\Desktop\React——Editor\src\App.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"c:\Users\Lenovo\Desktop\React——Editor\src\App.tsx", "TypeScript JSX", 0, 0, 0, 0, -43, 0, 0, 0, 0, -3, -8, -54
"c:\Users\Lenovo\Desktop\React——Editor\src\Context\playgroundcontent.tsx", "TypeScript JSX", 0, 0, 0, 0, -88, 0, 0, 0, 0, -6, -8, -102
"c:\Users\Lenovo\Desktop\React——Editor\src\assets\react.svg", "XML", 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Users\Lenovo\Desktop\React——Editor\src\components\Client.tsx", "TypeScript JSX", 0, 0, 0, 0, -12, 0, 0, 0, 0, 0, -3, -15
"c:\Users\Lenovo\Desktop\React——Editor\src\components\CoderEditor\index.tsx", "TypeScript JSX", 0, 0, 0, 0, -22, 0, 0, 0, 0, -6, -1, -29
"c:\Users\Lenovo\Desktop\React——Editor\src\components\Editor.tsx", "TypeScript JSX", 0, 0, 0, 0, -61, 0, 0, 0, 0, -16, -10, -87
"c:\Users\Lenovo\Desktop\React——Editor\src\components\FileListItem.tsx", "TypeScript JSX", 0, 0, 0, 0, -71, 0, 0, 0, 0, 0, -8, -79
"c:\Users\Lenovo\Desktop\React——Editor\src\components\FileNameList.tsx", "TypeScript JSX", 0, 0, 0, 0, -57, 0, 0, 0, 0, 0, -3, -60
"c:\Users\Lenovo\Desktop\React——Editor\src\components\Header.tsx", "TypeScript JSX", 0, 0, 0, 0, -261, 0, 0, 0, 0, -15, -25, -301
"c:\Users\Lenovo\Desktop\React——Editor\src\components\LeetCode.tsx", "TypeScript JSX", 0, 0, 0, 0, -331, 0, 0, 0, 0, -11, -26, -368
"c:\Users\Lenovo\Desktop\React——Editor\src\components\Message.tsx", "TypeScript JSX", 0, 0, 0, 0, -24, 0, 0, 0, 0, 0, -5, -29
"c:\Users\Lenovo\Desktop\React——Editor\src\components\OutputBox.tsx", "TypeScript JSX", 0, 0, 0, 0, -95, 0, 0, 0, 0, -7, -17, -119
"c:\Users\Lenovo\Desktop\React——Editor\src\components\RunCoder.tsx", "TypeScript JSX", 0, 0, 0, 0, -63, 0, 0, 0, 0, -5, -10, -78
"c:\Users\Lenovo\Desktop\React——Editor\src\components\Slider.tsx", "TypeScript JSX", 0, 0, 0, 0, -74, 0, 0, 0, 0, -3, -9, -86
