Date : 2025-12-24 01:38:02
Directory : c:\Users\Lenovo\Desktop\React——Editor\server
Total : 194 files,  -25408 codes, -816 comments, -978 blanks, all -27202 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\types\types.ts                                     | TypeScript         |        -41 |         -1 |         -7 |        -49 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\types\users\type.ts                                | TypeScript         |         -7 |          0 |          0 |         -7 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\ata.ts                                       | TypeScript         |        -16 |          0 |         -2 |        -18 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\axios.ts                                     | TypeScript         |       -103 |        -26 |        -20 |       -149 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\babelPlug.ts                                 | TypeScript         |        -78 |        -16 |         -8 |       -102 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\codeWorker.ts                                | TypeScript         |        -52 |         -8 |        -15 |        -75 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\compiler.ts                                  | TypeScript         |        -43 |         -2 |         -3 |        -48 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\dogAvataUrl.ts                               | TypeScript         |         -8 |          0 |          0 |         -8 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\files.ts                                     | TypeScript         |        -43 |        -45 |         -9 |        -97 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\filetree.ts                                  | TypeScript         |        -86 |        -33 |        -21 |       -140 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\judgeLangyage.ts                             | TypeScript         |         -8 |         -1 |          0 |         -9 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\loadandcompress.ts                           | TypeScript         |        -24 |        -11 |         -6 |        -41 |
| c:\Users\Lenovo\Desktop\React——Editor\client\src\utils\mannegerToken.ts                             | TypeScript         |        -73 |        -25 |        -24 |       -122 |
| c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.app.json                                      | JSON               |        -27 |         -2 |         -2 |        -31 |
| c:\Users\Lenovo\Desktop\React——Editor\client\tsconfig.json                                          | JSON with Comments |        -17 |          0 |          0 |        -17 |
